,date,disaster,province,total_cost,claims,postal_codes,duration,losses_day
1539,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,9197.0,3,"[30140, 30500, 30140]",1,9197.0
1540,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,168356.0,47,"[30400, 30412, 30400, 30195, 30413, 30440, 30430, 30195, 30195, 30400, 30440, 30420, 30195, 30400, 30195, 30400, 30400, 30400, 30400, 30400, 30400, 30410, 30413, 30400, 30195, 30195, 30400, 30440, 30400, 30195, 30400, 30400, 30420, 30400, 30400, 30400, 30400, 30440, 30440, 30440, 30440, 30400, 30400, 30400, 30400, 30440, 30439]",1,168356.0
1541,2023-06-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,472.0,1,[30440],1,472.0
1542,2023-07-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,2460.0,1,[30810],1,2460.0
1544,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,2941.0,3,"[30440, 30868, 30740]",2,1470.5
1546,2023-09-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,69294.0,41,"[30560, 30562, 30500, 30565, 30507, 30509, 30100, 30140, 30110]",2,34647.0
1549,2023-09-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Murcia,561017.0,101,"[30848, 30600, 30100, 30740, 30107, 30110, 30500, 30891, 30508, 30003, 30006, 30007, 30008, 30009, 30140, 30530, 30160, 30163, 30165, 30170, 30562, 30179, 30565, 30191, 30835, 30837, 30589]",3,187005.66666666666
1556,2023-01-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Murcia,446015.0,572,"[2438, 30878, 30880, 30889, 30890, 30891, 30893, 30510, 30400, 30410, 30411, 30412, 30414, 30800, 30810, 30811, 30812, 30813, 30815, 30816, 30817, 30818, 30440, 30441, 30195]",7,63716.42857142857
1558,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Murcia,3578.0,6,"[30880, 30510, 30400]",2,1789.0
1563,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Murcia,408940.0,543,"[30850, 30858, 30859, 30860, 30870, 30875, 30878, 30879, 30880, 30889, 30890, 30891, 30893, 30400, 30410, 30412, 30413, 30800, 30420, 30170, 30810, 30811, 30813, 30430, 30812, 30816, 30177, 30817, 30818, 30180, 30814, 30815, 30439, 30440, 30441, 30442, 30438, 30189, 30193, 30194, 30195, 30840]",5,81788.0
1564,2023-05-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,14450.0,5,"[31794, 31880, 31794, 31720, 31794]",1,14450.0
1565,2023-05-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,603.0,1,[31780],1,603.0
1569,2023-05-22,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,1750631.0,220,"[31780, 31720, 31754, 31789, 31792, 31770]",4,437657.75
1574,2023-05-31,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,319967.0,93,"[31200, 31780, 31110, 31192, 31015, 31241, 31179, 31470, 31119, 31191, 31100, 31132, 31292, 31229, 31230]",5,63993.4
1575,2023-06-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,3881.0,3,"[31132, 31800, 31010]",1,3881.0
1576,2023-06-05,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,2119.0,1,[31210],1,2119.0
1580,2023-06-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,220975.0,17,"[31745, 31713, 31780, 31400, 31242, 31471, 31409, 31570, 31415, 31100, 31487]",4,55243.75
1582,2023-06-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,18083.0,10,"[31592, 31513, 31523, 31540]",2,9041.5
1584,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,126797.0,27,"[31520, 31521, 31174, 31230, 31014, 31593, 31178, 31500, 31790, 31448, 31440, 31480, 31770, 31710]",2,63398.5
1587,2023-07-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,194121.0,53,"[31200, 31010, 31330, 31383, 31180, 31472, 31313, 31314, 31699, 31380, 31190, 31382, 31320, 31007]",3,64707.0
1588,2023-07-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,730.0,1,[31380],1,730.0
1589,2023-07-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,24117.0,2,"[31512, 31512]",1,24117.0
1590,2023-08-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Navarra,7613.0,1,[31240],1,7613.0
